keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Truck Accident Lawyer New York,1,https://www.gairgair.com/new-york-truck-accident-lawyer.html,41,31,5,617551,14328,2872,0,0,46,28,33,46.0,True,New York Truck Accident Lawyer Near You | Truck Accident Attorney NYC GGCRBHS&M,True,1,['New York Truck Accident Lawyer Near You'],[True],0,[],[],0,[],[],11,"['Logo of Gair, Gair, Conason, Rubinowitz, Bloom, Hershenhorn, Steigman & Mackauf', 'Truck Accident Lawyer', 'Truck Accidents in NYC by Month with Trendline', 'Top Verdicts 2017 New York Magazine', 'Facebook Icon', 'Twitter Icon', 'LinkedIn Icon', 'Justia Icon', 'YouTube Icon', 'YouTube Icon', 'Yelp Icon']","[False, True, True, False, False, False, False, False, False, False, False]",False,False
Truck Accident Lawyer New York,2,https://mirmanlawyers.com/new-york-truck-accident-lawyer/,33,29,3,23440,3458,1400,81,102,35,13,10,5.0,True,New York Truck Accident Lawyer - Truck Accident Attorneys in NYC,True,1,['New York Truck Accident Lawyer'],[True],8,"['How Will a NYC Truck Accident Lawyer Help Me After an Accident?', 'How Common Are Truck Accidents in NYC?', 'Who’s Liable For Truck Accident?', 'We Handle All Truck Accident Cases', 'Common Causes of Truck Accidents', 'Damages Available to Truck Accident Victims', 'How Long Do I Have to File a Truck Accident Lawsuit in NYC?', 'Let Our New York City Truck Accident Lawyers Help You Today']","[True, True, True, True, True, True, True, True]",1,['Practice Areas'],[False],8,"['NYC Personal Injury Lawyers - Mirman, Markovits & Landau, P.C.', 'NO ALT', '', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT', 'NO ALT']","[False, False, False, False, False, False, False, False]",True,True
Truck Accident Lawyer New York,3,https://www.morellilaw.com/areas-we-serve/new-york-ny/truck-accident-lawyer/,33,29,3,4723,2339,1919,136,115,47,20,40,3.0,True,New York Truck Accident Lawyer | Morelli Law Firm,True,1,['New York Truck Accident Lawyer'],[True],10,"['Why Do I Need A Truck Accident Lawyer ?', 'What Other Types of Damages Might I Be Able to Recover?', 'Determining The Liable Party', 'How Much Does a New York Truck Accident Lawyer Cost?', 'The State and Federal Laws for Truck Driver Conduct', 'New York Laws that May Affect Your Case', 'Can I File A Wrongful Death Suit If My Loved One Died in A Truck Accident in New York?', 'Avoiding Truck Accidents', 'Our New York Truck Accident Attorneys Can Help', 'HOW CAN WE HELP?']","[True, False, False, True, False, False, True, True, True, False]",13,"['Truck Drivers', 'Trucking Companies', 'Truck Manufacturers', 'Vehicle Parts Manufacturers', 'Truck Maintenance Companies', 'Municipalities', 'Third-Party Drivers', 'Additional Locations', 'Request A Case Evaluation', 'Navigation', 'Practice Areas', 'Latest FAQ', 'Latest News']","[False, False, False, False, False, False, False, False, False, False, False, False, False]",4,"['Morelli Law Logo', 'Morelli Law Logo', 'A trunk crushed by an orange truck.', 'Morelli Law Firm']","[False, False, False, False]",True,False
Truck Accident Lawyer New York,4,https://jknylaw.com/new-york-truck-accident-lawyer/,32,28,4,5966,1410,2205,17,261,48,54,33,71.0,True,New York Truck Accident Lawyer - Law Offices of Jay S. Knispel Personal Injury Lawyers,True,1,['New York City Truck Accident Lawyer'],[True],10,"['How Our NYC Personal Injury Lawyers Can Help with Your Truck Accident Case', 'How Common Are Truck Accidents in New York City, NY?', 'What Is My NYC Truck Accident Case Worth?', 'What Kind of Damages Are Available to Truck Accident Victims in New York City?', 'Can I Recover Compensation if I Am Being Blamed for a Truck Accident in New York?', 'We Will Fight for Full Compensation for All of Your Truck Accident Injuries', 'What Causes Most Truck Accidents in New York City, New York?', 'How Do I Prove Negligence After a Truck Accident in New York?', 'How Long Do I Have to File a Truck Accident Lawsuit in New York?', 'Contact Our New York City Truck Accident Lawyer for a Free Consultation']","[True, True, True, True, True, True, True, True, True, True]",4,"['Related Links', 'NYC Practice Areas', 'New York Injury Attorneys', 'Brooklyn Injury Attorneys']","[False, False, False, False]",9,"['Jay S. Knispel Personal Injury Lawyer - NYC', 'NO ALT', 'New York City Truck Accident Lawyer', 'How Common Are Truck Accidents in New York City, NY?', 'Law Offices of Jay S. Knispel Personal Injury-New York City Office', 'Law Offices of Jay S. Knispel Personal Injury - Brooklyn Office', 'New York City Accident & Injury Lawyers Near You', 'New York City Accident & Injury Lawyers Near You', 'New York City Accident & Injury Lawyers Near You']","[False, False, True, True, False, False, False, False, False]",True,True
Truck Accident Lawyer New York,5,https://www.wittenstein.com/truck-accident-lawyer/,21,26,1,56238,4479,916,156,60,9,11,15,10.0,True,Truck Accident Lawyer NYC | Wittenstein & Wittenstein,True,1,['TRUCK ACCIDENT LAWYER NYC'],[True],10,"['WHY NOT HIRE THE BEST TRUCK ACCIDENT ATTORNEY IN NEW YORK CITY?', 'Some of the causes of truck accidents are as follows:', 'TRUCK ACCIDENT LAWYER NYC – thorough investigations', 'Why Are Parking Lots So Dangerous?', 'New Laws To Prevent Construction Accidents', 'Free Consultation: What to Expect from the Attorney', 'How Insurance Companies Low Ball Claims', 'How I Learned To Love Being An Ambulance Chaser', 'No Case Is Too Big Or Too Small', 'The Importance of Choosing the Right Brain Injury Attorney']","[True, True, True, False, False, False, False, False, False, False]",1,['718-261-8114'],[False],27,"['Wittenstein & Wittenstein, ESQS., P.C. Logo', 'Wittenstein & Wittenstein, ESQS., P.C. Logo', 'Wittenstein & Wittenstein, ESQS., P.C. Logo', 'truck accident lawyer nyc', 'truck accident lawyer nyc', '', '', '', '', '', '', '', '', '', '', '', '', 'best accident attorney in forest hills', 'best accident attorney in forest hills', 'best accident attorney in forest hills', 'top accident lawyer in queens', 'top accident lawyer in queens', 'top accident lawyer in queens', 'top brain injury attorney in Queens', 'top brain injury attorney in Queens', 'top brain injury attorney in Queens', 'PERSONAL INJURY ATTORNEY']","[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer New York,6,https://www.rosenbaumnylaw.com/new-york-truck-accident-lawyer/,27,29,7,23563,2818,1826,110,67,46,32,40,6.0,True,"New York Truck Accident Lawyer - Rosenbaum & Rosenbaum, P.C.",True,1,['New York City Truck Accident Lawyer'],[True],8,"['How Our Skilled Personal Injury Lawyers Can Help After a Truck Accident in NYC', 'New York Truck Accidents Are Surprisingly Common', 'Leading Causes of Truck Accidents', 'Who Can Be Held Responsible for a Truck Accident?', 'Common Truck Accident Injuries', 'Compensatory Damages Available to Truck Accident Victims', 'Time is Limited to File a Truck Accident Lawsuit in New York City', 'Speak with an Experienced NYC Truck Accident Lawyer to Get Help Today']","[True, True, True, True, True, True, True, True]",7,"['Investigating to Determine the Cause of a Truck Accident', 'Employer’s Responsibility for Truck Driver Negligence', 'The Role of New York Contributory Negligence Law', 'Related Links', 'Practice Areas', 'Our Location', 'Search Our Site']","[True, False, False, False, False, False, False]",14,"['Rosenbaum & Rosenbaum, P.C.', 'Rosenbaum & Rosenbaum, P.C.', 'Banner New York City Lawyers', 'New York City Truck Accident Lawyer', 'New York City Truck Accident Lawyer', 'How Our Skilled Personal Injury Lawyers Can Help After a Truck Accident in NYC', 'How Our Skilled Personal Injury Lawyers Can Help After a Truck Accident in NYC', 'New York Truck Accidents Are Surprisingly Common', 'New York Truck Accidents Are Surprisingly Common', 'The Role of New York Contributory Negligence Law', 'The Role of New York Contributory Negligence Law', 'Rosenbaum & Rosenbaum New York, NY Office Location', 'Rosenbaum & Rosenbaum New York, NY Office Location', '']","[False, False, False, True, True, True, True, True, True, False, False, False, False, False]",True,True
Truck Accident Lawyer New York,7,https://www.lawsb.com/personal-injury-lawyer-nyc/new-york-truck-accident-lawyer/,33,21,-1,12746,1507,2021,93,161,57,37,30,3.0,True,New York Truck Accident Lawyer I Spar & Bernstein,True,1,['New York Truck Accident Lawyer'],[True],7,"['NEW YORK TRUCK ACCIDENT LAWYERS WITH 50 YEARS OF EXPERIENCE', 'WHY HIRE SPAR & BERNSTEIN FOR TRUCK ACCIDENTS?', 'TRUCK ACCIDENTS RECOGNIZED BY NEW YORK STATE LAW', 'NEW YORK TRUCK ACCIDENT LAWS', 'WHO IS LIABLE FOR TRUCK ACCIDENTS IN NEW YORK?', 'COMPENSATION FOR TRUCK ACCIDENT INJURIES IN NEW YORK', 'NEW YORK TRUCK ACCIDENT FAQS']","[True, True, True, True, True, True, True]",23,"['New York Statute Of Limitations', 'New York No-Fault Law', 'Federal Trucking Laws', 'Pain And Suffering', 'Property Damage', 'Wrongful Death', 'What Is Considered A Truck In New York?', 'What Types Of Trucks Can Be Involved In A Bus Accident In New York?', 'What Can Cause A Truck Accident In New York?', 'What Are The Most Common Types Of Truck Accidents In New York?', 'What Are The Most Common Injuries After A Truck Accident?', 'Who Can Be Sued For A Truck Accident?', 'What Should I Do After A Truck Accident In New York?', 'What Compensation Can I Seek After A Truck Accident In New York?', 'What Evidence Can Support My Truck Accident Claim?', 'Can I Claim Compensation If I Am Blamed For A Truck Accident?', 'Why Should I Contact A New York Truck Accident Lawyer As Soon As Possible?', 'How Much Do Truck Accident Lawyer Services Cost In New York?', 'How Fast Should I File A Truck Accident Claim In New York?', 'Who Can File A Wrongful Death Claim After A Truck Accident In New York?', 'Why Are Truck Accidents More Likely To Result In Serious Injuries And Fatalities?', 'Are Truck Accidents Common In New York City?', 'What Types of Personal Injury Lawyers Spar & Bernstein Has?']","[False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]",13,"['Law Offices of Spar & Bernstein', 'menu item bg', 'question', 'Background Image', 'mobile phone', 'New York Bus Accident', 'youtube icon', 'facebook', 'instagram', 'instagram', 'instagram', 'tiktok', 'Law Offices of Spar & Bernstein']","[False, False, False, False, False, False, False, False, False, False, False, False, False]",True,True
Truck Accident Lawyer New York,8,https://www.perecman.com/truck-accidents/,37,26,1,125988,7237,1884,69,137,40,12,30,65.0,True,"NYC Truck Accident Lawyer - The Perecman Firm, P.L.L.C.",True,1,['New York Truck Accident Lawyer'],[True],10,"['What Makes Truck Accident Claims More Complicated?', 'Why Choose Our Firm to Handle Your Case?', 'Evidence We May Use in a Truck Accident Claim', 'Demanding Full Compensation in a Truck Accident Claim', 'How Long Do You Have to File a Truck Accident Lawsuit in New York?', 'Common Causes of Truck Accidents', 'Catastrophic Injuries Caused by Truck Accidents', 'Who Can Be Held Liable for a Truck Accident?', 'How Our NYC Truck Accident Lawyers Can Help', 'Contact a New York Truck Accident Lawyer Near You']","[True, False, True, True, True, True, True, True, True, True]",1,['Examples of the parties that may have liability for an 18-wheeler accident in NYC include:'],[False],46,"['Spanish Flag', 'Polish Flag', 'logo', 'logo', 'Spanish Flag', 'Polish Flag', 'truck accidents', 'truck accidents', 'Video Testimonial', 'Testimonials', 'New York Truck Accident Lawyer image', 'New York Truck Accident Lawyer image', 'David Perecman Photo', 'Steven Dorfman Photo', 'Zachary Perecman Photo', 'Adam Hurwitz Photo', 'Peter Rigelhaupt Photo', 'Mariusz Sniarowski Photo', 'Erica Colon Photo', 'Sagar Chadha Photo', 'Edward Guldi Photo', 'Eileen Kelly Photo', 'Best Lawyers of the Year 2022 logo', 'Best Lawyers in America logo', 'Best Law Firms 2023 logo', '2020 top100 personal injury settlements', '2020 top20 work accident settlements', 'best lawyers ones to watch logo', 'Perecman Super Lawyers Top 100 logo', '', 'Northeast logo', 'New York Magazine logo', 'Multi Million Advocates logo', 'National Trial Lawyers logo', '10 BEST logo', 'Avvo rating logo', 'Lawyers of Distinction 2021', 'NAOPIA', 'top 10 law firm logo', 'Top 10 settlements', 'Top 10 personal injury settlements', 'Legally Reviewed Box Photo', 'logo', 'cw logo', 'Back to top', '']","[False, False, False, False, False, False, True, True, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer New York,9,https://www.jmlawyer.com/new-york-truck-accident-lawyer/,36,32,2,20664,6159,3251,248,140,57,59,22,6.0,True,"New York Truck Accident Lawyers | Jacoby & Meyers, LLP",True,1,['New York Truck Accident Lawyers'],[True],9,"['Our Experience Matters', 'Getting the Money YOU Need After a New York Truck Accident', 'Truck Accidents in New York', 'Understanding the Dangers of Big Trucks in New York', 'What Causes Commercial Trucks in New York to Crash?', 'What Are Common Truck Accident Injuries?', 'Who is Responsible For My New York Truck Accident?', 'Call Jacoby & Meyers, LLP Today!', 'Free Case Evaluation']","[False, True, True, False, False, True, True, False, False]",8,"['We Help Injured New York Truck Accident Survivors', 'How Much is my Case Worth?', 'Where do Truck Crashes Occur in New York?', 'Truck Accident Injury Statistics in New York State', 'We Help Injured New Yorkers Like You', 'How Can Our New York Truck Accident Lawyers Help?', 'Client Testimonials', 'Office Locations']","[True, False, False, True, False, True, False, False]",10,"['', '', 'Jacoby & Meyers, LLP', 'Jacoby & Meyers, LLP', 'New York Truck Accident Lawyer', 'Jacoby and Meyers Legal Team Photo', 'Top 100 National Trial Lawyers', 'New York Truck Accident Lawyer', 'Manhattan truck accident lawyer', 'Jacoby & Meyers | Personal Injuy Attorneys']","[False, False, False, False, True, False, False, True, True, False]",True,False
Truck Accident Lawyer New York,10,https://www.greensteinmilbauer.com/nyc-truck-accident-lawyer/,30,32,-1,8754,1392,1713,58,157,18,13,21,37.0,True,"NYC Truck Accident Lawyer | Greenstein & Milbauer, LLP | 1-800-VICTIM2",True,1,['NYC Truck Accident Lawyer'],[True],7,"['Dealing with New York No-Fault Auto Insurance After a Semi-Truck Crash', 'What Does Negligence Mean in Truck Accident Cases?', 'Serious Injuries and 18-Wheeler Wrecks', 'Getting FULL Compensation for Your Truck Accident', 'Determining Fault for an 18-Wheeler Accident', 'NYC Truck Accident FAQ', 'Contact a New York City Truck Accident Lawyer']","[False, True, False, True, False, True, True]",7,"['How long do I have to file a trucking accident claim?', 'Will the insurance company offer a fair settlement?', 'What if other people were injured in the collision?', 'What if I can’t afford a lawyer?', 'What are some common causes of trucking accidents?', 'OUR LOCATIONS', 'Start live chat with our team?']","[False, False, False, False, False, False, False]",18,"['Greenstein Milbauer', '', '', '', '', '', 'Facebook', '', 'Linkedin Logo', '', 'Twitter Logo', '', 'Youtube', '', 'GMB', '', 'Greenstein Milbauer', 'Apricotlaw']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
