keyword,rank,url,domain_authority,page_authority,spam_score,pages_to_root_domain,nofollow_pages_to_root_domain,total_words,header_words,footer_words,keyword_count,city_count,lawyer_attorney_count,first_keyword_spot,keyword_in_200_words,title,key_in_title,h1_count,h1_text,key_in_h1,h2_count,h2_text,key_in_h2,h3_count,h3_text,key_in_h3,image_count,image_alt_text,key_in_alt_text,is_wordpress,has_table_of_contents
Truck Accident Lawyer Washington DC,1,https://rhllaw.com/truck-accident-lawyer/,36,31,1,95812,2475,3721,82,103,80,2,55,3.0,True,"Washington, DC Truck Accident Lawyer | Regan Zambri Long",True,1,"['Washington, DC Truck Accident Lawyer']",[True],10,"['Have You Been in a Truck Accident in Washington, DC?', 'Is a Washington, DC Truck Accident Lawyer Necessary for My Case?', 'What Compensation is Available for My Truck Accident Injury?', 'What Does a Washington, DC Truck Accident Attorney Recommend I Do Following a Truck Accident?', 'Who Can a Truck Accident Lawyer Hold Responsible for a Trucking Accident in Washington, DC?', 'What Makes Truck Accidents Different From a Typical Car Accident in DC?', 'How Can Our DC Truck Accident Attorney Help With Your Case?', 'Frequently Asked Questions About Truck Accidents in Washington, DC', 'Schedule a Free Consultation With a Washington, DC Truck Accident Lawyer', 'Schedule a Free Consultation']","[True, True, True, True, True, True, True, True, True, False]",6,"['Commercial Trucks Have Special Regulations', 'Truck Accidents Have Numerous Additional Risks', 'Trucks May Contain Hazardous or Dangerous Cargo', 'Truck Accidents Don’t Just Involve Drivers', 'Contact Us for a Free Consultation Today', 'Meet With A Winning Truck Accident Attorney In Washington DC Today']","[False, True, False, True, False, True]",19,"['NO ALT', 'NO ALT', 'Regan Zambri Long PLLC', '5 stars', '5 stars', 'Washington, DC truck accident lawyer sal zambri', '5 stars', '5 stars', 'washington, dc truck accident lawyer Victor E. Long at work', '5 stars', 'Regan Zambri Long PLLC', 'Facebook', 'Twitter', 'LinkedIn', 'Instagram', 'YouTube', 'BBC Accreditation Logo', 'Back to Top', 'Cleantalk Pixel']","[False, False, False, False, False, True, False, False, True, False, False, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Washington DC,2,https://www.chaikinandsherman.com/truck-accidents/,38,27,1,37437,32482,2196,119,247,59,2,31,6.0,True,"Washington, DC Truck Accident Lawyer | Trucking Accident Attorney DC",True,1,"['Washington, DC Truck Accident Lawyer']",[True],10,"['Truck Accidents', 'Put Decades of Experience in Your Corner', 'How Much Compensation Can I Expect By Filing a Truck Accident Injury Claim?', 'Why Insurance Companies Make Low Settlement Offers to Truck Accident Injury Victims', 'What Juries Consider When Deliberating in a Large\xa0 Truck Accident Case', 'Why Is It So Important to Speak with a Washington, DC Truck Accident Attorney as Soon as Possible?', 'Governmental Mandates Aim to Reduce Trucking Accidents', 'Other Common FMCSA Violations that Can Lead to Trucking Accidents', 'Damages that Result from Truck Accidents', 'How to Find the Right Truck Accident Lawyer']","[True, False, True, True, True, True, False, False, True, True]",3,"['Call Now for Your Free Consultation:\xa0(202) 659-8600', 'Contact Us Today For A Free Consultation', 'Pin It on Pinterest']","[False, False, False]",2,"['CSCS Logo', '']","[False, False]",True,False
Truck Accident Lawyer Washington DC,3,https://bencrump.com/areas-we-serve/washington-dc/truck-accident-lawyer/,49,29,3,30198,6125,1650,74,103,42,12,42,3.0,True,Washington DC Truck Accident Lawyers | Ben Crump,True,1,['Washington DC Truck Accident Lawyer'],[True],12,"['Truck Accidents Are Becoming More Common', 'How Truck Accidents Can Happen', 'How to Help Prove Your Claim', 'Compensation for Your Truck Accident Injury', 'Truck Accident Case Evaluation', 'Truck Accidents FAQ:', 'Get Your FreeCase Review', 'When you’re ready, we’re here to help.', 'Washington DC', 'Tallahassee', 'Los Angeles', 'Sacramento']","[True, True, False, True, True, True, False, False, False, False, False, False]",5,"['Driver Error', 'Loading or Cargo Errors', 'Company Negligence', 'Manufacturer Errors and Design Defects', 'Additional Locations']","[False, False, False, False, False]",15,"['Ben Crump Logo', 'Washington DC Truck Accident Lawyer', 'Are Semi Trucks Dangerous?', 'How Dangerous Is Truck Driving?', 'Can I Sue for Being Hit By a Semi Truck?', 'How Can Truck Accidents Be Prevented?', 'Are Semi Trucks Dangerous?', 'How Dangerous Is Truck Driving?', 'Can I Sue for Being Hit By a Semi Truck?', 'partners', 'partners', 'partners', 'partners', 'ben crump logo', 'Brandlytics']","[False, True, False, False, False, True, False, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Washington DC,4,https://truckcrashlaw.com/,21,32,1,7775,813,1253,125,316,19,0,15,20.0,True,Truck Accident Law Firm - #1 Truck Accident Lawyers In U.S.,True,2,"['The Truck Accident Law Firm', 'Why tractor-Trailer Truck crashes are not accidents?']","[True, False]",18,"['“The Truck Accident Dream Team”', 'We Will Fight  For You\u200b', 'Why We AreThe Best', 'Why choose a firm focused on truck crashes?', 'Our Attorneys', 'Joseph A Fried', 'Joseph V. Camerlengo Jr.', 'Gregg J. Anderson', 'Sara Sardina', 'Why Hire A Board Certified Truck Accident Attorney?', '01', '02', '03', 'Client Testimonials', 'You Deserve The Best Truck Accident Attorneys', 'Latest News on Truck Crash Cases', 'Get the compensation you deserve', 'Copyright Truck Crash Law Firm ©2023, all rights reserved']","[True, False, False, False, False, False, False, False, False, True, False, False, False, False, True, False, False, False]",18,"['“We are a Nationwide Law Firm with N.B.T.A. Board Certified Attorneys!”', 'Over $1 Billion RecoveredFor Our Clients', 'Over $1 Billion RecoveredFor Our Clients', 'Trust | Compassion | Results', 'Our Firm is dedicated to treating our clients with dignity, respect, and compassion throughout the legal process.', 'Our Results', 'Testimonials', 'Truck Accidents', 'Truck Crash Facts', 'We Are A Top 10Law Firm', 'We Are Dedicated', 'Our Clients are Our Friends', 'How A Board-Certified Truck Accident Attorney Get Results', 'Be Prepared for Tire Blowouts when Passing Semi-Trucks', 'How A Board-Certified Truck Accident Attorney Get Results', 'Be Prepared for Tire Blowouts when Passing Semi-Trucks', 'Inexperienced Teen Drivers Pose Risks After COVID-19 Lockdowns', 'Semi-Truck U-Turned and Caused an Accident?']","[False, False, False, False, False, False, False, True, False, False, False, False, True, False, True, False, False, False]",8,"['Truck Accident Law Firm Logo', 'truck accident attorneys on inside edition', '', 'tire blowouts when passing semi-trucks', 'board certified truck accident attorneys', 'footer-top-10', 'national board of trial attorneys', '']","[True, True, False, False, True, False, False, False]",True,False
Truck Accident Lawyer Washington DC,5,https://pricebenowitz.com/dc-injury/truck-accident-lawyer/,44,31,-1,74171,55029,2473,94,180,30,4,36,42.0,True,Washington DC Truck Accident Lawyer | Commercial Vehicle Collisions,True,1,['DC Truck Accident Attorney'],[True],9,"['How Much is My Truck Crash Claim Worth?', 'Factors Juries Consider in Local Trucking Accident Cases', 'Insurance Companies and DC Truck Accident Claims', 'How Will I Cope with the Lack of Income if My Truck Was Damaged or Destroyed?', 'Don’t Wait to Contact a Truck Accident Lawyer', 'How Will I Afford the Medical Bills after a Truck Accident?', 'What Role Does a Lawyer Play in Fighting for a Truck Accident Settlement?', 'Get in Touch with a DC Truck Accident Lawyer for Professional Advice', 'Client Review']","[False, False, True, False, True, True, True, True, False]",0,[],[],22,"['Price Benowitz LLP', 'Price Benowitz LLP', 'logos', 'The National Trial Lawyers', 'American Association of Justice', 'Super Lawyers', 'AVVO Rated', 'Best Lawyers', 'Martindale Hubbell', 'Best lawyer of DC', '', '', '', '', 'Truck accident lawyer in Washington DC', '', 'Price Benowitz LLP', 'Price Benowitz LLP', 'Price Benowitz LLP', 'Location', 'Email', 'Website']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Washington DC,6,https://gelbandgelb.com/washington-dc-truck-accident-lawyer/,28,17,1,1401,464,1144,60,0,17,4,14,28.0,True,Washington DC Truck Accident Lawyer | Tractor-Trailer Collision,True,1,['Washington DC Truck Accident Lawyer'],[True],3,"['Understanding Federal Truck Regulations', 'Holding All At-Fault Parties Legally Responsible for a Truck Accident', 'Contact a Washington, DC Truck Accident Attorney Right Away']","[False, True, True]",3,"['Product and Mechanical Failures', 'Human Error', 'Negligent Trucking Company']","[False, False, False]",17,"['logo', 'symbols', 'symbols', 'symbols', 'symbols', 'symbols', 'symbols', 'symbols', 'symbols', 'symbols', 'symbols', 'logo', 'Linkedin', 'Twitter', 'facebook', 'Justia', 'Gelb & Gelb, P.C.']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Washington DC,7,https://cohenandcohen.net/automobile-accidents/,43,36,1,11183,1777,6128,74,329,6,65,67,3535.0,False,Washington DC Auto Accident Lawyer | DC Car Accident Law Firm,False,1,['Automobile Accident Lawyers Washington DC | MD | VA'],[False],28,"['FREE Case evaluation', 'DC Car Accident Lawyers', 'What Are the Most Common Car Accident Injuries?', 'Washington DC |\xa0Maryland | Virginia', 'Catastrophic Injuries DC, MD, VA', 'Automobile Accidents DC, MD, VA', 'Workers’ Compensation DC, MD, VA', 'Slip and Fall DC, MD, VA', 'Medical Malpractice DC, MD, VA', 'Wrongful Death DC, MD, VA', 'Truck Accidents DC, MD, VA', 'Motorcycle Accidents DC, MD, VA', 'Metro Train Accident DC, MD, VA', 'FREE CASE EVALUATION', 'What Is The Average Settlement For A Washington DC Car Accident?', 'How A Motorcycle Accident Lawyer Can Help', 'Should You file a Medical Malpractice Lawsuit?', 'Essential Wrongful Termination FAQs', 'When Accidents Occur At Hospitals', 'Hear from our clients', 'Cohen & Cohen has an\xa0 impeccable Client Satisfaction Rating with hundreds of  5 STAR Reviews. We are among the best-rated firms in the areas we serve.', 'Cohen & Cohen has an\xa0 impeccable Client Satisfaction Rating with hundreds of  5 STAR Reviews. We are among the best-rated firms in the areas we serve.', 'FREE CASE EVALUATION', 'Call 24/7', '(202) 955-4529', 'Illinois Attorney General Sues Bus Company Over Discrimination', 'Parkland Survivors Sue County for Violating Their Civil Rights', 'Family of Boy Shot Dead for Holding a Toy Gun File Lawsuit']","[False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",13,"['Auto accidents may include:', 'What should I do after I’ve been in a car accident?', 'Car accidents sometimes occur through no fault of your own. They can involve:', 'Types of Car Accidents:', 'Car Accident Lawyer in Washington, DC', 'DC Car Accident Lawyer', 'Auto Accident Lawyer Washington DC', 'How Do You Determine Fault in a Car Accident?', 'Should I Accept the Insurance Company’s First Offer?', 'Should I See a Doctor?', 'How Much Compensation Can I Recover in a Car Accident Claim?', 'Do I Have to Go to Trial?', 'Do I Need an Attorney?']","[False, False, False, False, False, False, False, False, False, False, False, False, False]",47,"['NO ALT', '', '', 'Automobile Accident Lawyer', 'Lyft Accidents', 'Taxi Accident Lawyer Washington DC', 'Rear End Collision lawyers Washington DC', 'Hit and Run Accident Lawyers Washington DC', 'DUI Lawyer DC', '', 'Roll-over Accidents lawyer washington dc', 'Side Impact Collision Lawyers Washington DC', 'Head-On Collision Lawyers Washington DC', 'Icy Roads Accident Lawyers Washington DC', 'Elderly Driver Accident Lawyers Washington DC', 'tow truck accident lawyer DC', 'workers compensation attorneys in dc', '', 'Client Review', 'Client Review', '', 'SuperLawyers2010', 'SuperLawyers2011', 'SuperLawyers2012', 'SuperLawyers2014', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Washington DC,8,https://www.wilsonlaw.com/washington-dc-trucking-accident-lawyer/,31,22,1,8341,965,1317,11,88,26,0,11,138.0,True,"Washington, D.C. Trucking Accident Attorney - The Law Offices of Dr. Michael M. Wilson, M.D., J.D. & Associates",False,1,"['Trucking Accident Lawyer in Washington, D.C.']",[False],6,"['Why Are Washington, D.C. Truck Accidents So Catastrophic?', 'What Are Common Injuries Caused by Washington D.C. Truck Accidents?', 'What Compensation Is Available for Truck Accidents in Washington, D.C.?', 'Washington, D.C., Truck Accident Statistics', 'How to Know If You Need Legal Help After a Truck Accident in Washington, D.C.', 'Contact a Washington, D.C., Trucking Accident Attorney Now']","[True, True, True, True, True, False]",3,"['Get A Free Case Consultation', 'Our Location', 'Communities We Serve']","[False, False, False]",16,"['The Law Offices of Dr. Michael M. Wilson M.D., J.D. & Associates - Footer Logo', 'A truck accident in Washington D.C.', 'Depressed young man in wheelchair traumatized in truck accident. ', 'top100badge', 'Super-Lawyers', 'The-Washington-Post', 'American-Association', 'Trail-Lawyers', 'The-American-Board', 'Fellow-American', 'medical_malpractice_lawyers', 'unnamed', 'thelawofficesofdrmichaelmwilsonmdjdassociates-washington', 'footer logo', 'The Washington Law Office Of The Law Offices of Dr. Michael M. Wilson, M.D., J.D & Associates.', 'facebook_pixel']","[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Washington DC,9,https://cohenandcohen.net/truck-accident-lawyer-washington-dc/,43,25,1,11183,1777,3117,102,343,49,27,45,2.0,True,Truck Accident Lawyer Washington DC | Cohen & Cohen Law Firm,True,1,['Washington Truck Accident Lawyer'],[True],44,"['FREE Case evaluation', 'Truck Accident Lawyer Washington DC', 'Fighting for the rights of victims', 'Proven Record of Success', 'Preserving Victim Credibility', 'Benefit From Our Knowledge and Experience', 'FMCSA Violations and Truck Accidents', 'Washington Truck Accident Law Infographic', 'Who Can Be Held Responsible in an Accident With a Truck?', 'Washington Truck Accident Law Statistics', 'Cohen & Cohen Washington Truck Accident Lawyer', 'Washington Truck Accident Lawyer Google Review', 'Call a Knowledgeable Washington Truck Accident Lawyer Today', 'Truck Accident Lawsuits: Frequently Asked Questions', 'How long after an accident with a commercial truck do I have to file a lawsuit?', 'What factors imply liability on behalf of the trucking company?', 'What is the goal of a truck accident lawsuit?', 'What should I do if I am offered a settlement following a truck accident?', 'How do I proceed if the truck accident resulted in my passengers’ fatality?', 'Washington DC |\xa0Maryland | Virginia', 'Catastrophic Injuries DC, MD, VA', 'Automobile Accidents DC, MD, VA', 'Workers’ Compensation DC, MD, VA', 'Slip and Fall DC, MD, VA', 'Medical Malpractice DC, MD, VA', 'Wrongful Death DC, MD, VA', 'Truck Accidents DC, MD, VA', 'Motorcycle Accidents DC, MD, VA', 'Metro Train Accident DC, MD, VA', 'FREE CASE EVALUATION', 'What Is The Average Settlement For A Washington DC Car Accident?', 'How A Motorcycle Accident Lawyer Can Help', 'Should You file a Medical Malpractice Lawsuit?', 'Essential Wrongful Termination FAQs', 'When Accidents Occur At Hospitals', 'Hear from our clients', 'Cohen & Cohen has an\xa0 impeccable Client Satisfaction Rating with hundreds of 5 STAR Reviews. We are among the best-rated firms in the areas we serve.', 'Cohen & Cohen has an\xa0 impeccable Client Satisfaction Rating with hundreds of 5 STAR Reviews. We are among the best-rated firms in the areas we serve.', 'FREE CASE EVALUATION', 'Call 24/7', '(202) 955-4529', 'Illinois Attorney General Sues Bus Company Over Discrimination', 'Parkland Survivors Sue County for Violating Their Civil Rights', 'Family of Boy Shot Dead for Holding a Toy Gun File Lawsuit']","[False, True, False, False, False, False, True, True, False, True, True, True, True, True, False, False, True, True, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",0,[],[],37,"['NO ALT', '', '', 'Truck Accident Lawyer', 'contact our Washington Truck Accident Lawyer', 'Common Causes of Truck Accidents Infographic', 'workers compensation attorneys in dc', '', 'Client Review', 'Client Review', '', 'SuperLawyers2010', 'SuperLawyers2011', 'SuperLawyers2012', 'SuperLawyers2014', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",True,False
Truck Accident Lawyer Washington DC,10,https://www.dc-attorney.com/trucking-accidents.html,19,21,2,40575,1730,1331,0,0,6,4,11,234.0,False,"Trucking Accidents | Washington, DC Trucking Crash Lawyer Mesirow & Associates",False,1,['Trucking Accidents'],[False],0,[],[],0,[],[],8,"['Logo of Mesirow & Associates, PLLC, A Metro DC Personal Injury Law Firm', 'Washington DC Truck Accident Lawyer', 'Facebook Icon', 'Twitter Icon', 'LinkedIn Icon', 'Justia Icon', 'Avvo badge', 'Toll Free: 866-463-0303']","[False, True, False, False, False, False, False, False]",False,False
